# La durée (celle des conséquences) est indiquée en jours.
# La durée infinie est indiquée par 1 jour, car l'action est ponctuelle (reproduisible ou pas).
# La durée de 365 correspond bien entendu à une année.
# La colonne needs_action (booléen) correspond à la possibilité ou non d'y remédier.
#
message; duration; is_reproductible; needs_action
#
# Concernant les profs
"M. Fix est en arrêt maladie"; 10; 1; 1
"Mme Machin a fait un burn-out"; 90 ; 1; 1
"M. Tournesol est décédé d'un AVC"; 1; 0; 1
"Les enseignant sont en grève"; 3; 1; 1
"Mme Schmidt a fait un déni de grossesse et se retrouve tout d'un coup en congé maternité"; 112; 0; 1
"M. Berstein devait aller à un colloque en Inde, mais n'a pas eu le visa"; 7; 0; 1
"Une ancienne de l'IUT, Mme Jolliot, envoie une candidature spontanée"; 1; 0; 1
#
# Concernant les étudiants
"Piratage massif de données personnelles des étudiants"; 60; 1; 1
"Les étudiants sont en grève"; 3; 1; 0
"Les étudiants sont tellement mécontents qu'un nouveau mai 68 se profile"; 200; 0; 1
"Des étudiants se plaignent d'un professeur (à leur avis) incompétent"; 1; 1; 0
"Des étudiants se disent démotivés par le rythme soutenu de l'IUT"; 1; 1; 0 
"Des étudiants se portent volontaires pour faire du bénévolat"; 365; 1; 1
"M. Laplace, étudiant de 1ère année remporte les Olympiades internationales de physique"; 1; 0; 0
#
# Concernant les bâtiments
"Panne de chauffage"; 7; 1; 1
"Osiris défaille pendant une bonne dizaine de jours, malgré les tickets"; 10; 1; 1
"Toilettes bouchées"; 2; 1; 1
"L'escalier s'est écroulé dans le bâtiment"; 50; 0; 1
"Pendant une nuit d'orage, un arbre s'est abattu sur le bâtiment"; 20; 0; 1
"Un groupe d'étudiants a démonté les pieds de toutes les chaises dans une salle"; 15; 1; 1
"Plusieurs personnes à mobilité réduite étant admises à l'IUT, il faudrait repenser l'environnement"; 60; 0; 1
#
# Concernant la législation et la situation politiques
"L'IUT est tenu de désamianter le bâtiment"; 356; 0; 1
"De nouvelles exigences en matière énergétique et environnementale sont appliquées"; 356; 0; 1
"Le dernier audit a révélé que les normes en vigueur n'étaient pas respectées"; 356; 0; 1
"La gauche de retour au pouvoir plaide un investissement accru dans les IUT"; 1825; 0; 1
#
# Concernant les financements
"Dû à une crise économique, les subventions publiques baissent de 10%"; 365; 0; 1
"Crédit Mutuel se retire d'un partenariat avec l'IUT"; 1; 0; 1
"L'IUT a du mal à louer ses locaux et équipements, cette année"; 365; 0; 1
"Comme toute l'économie française, l'Université de Strasbourg et l'IUT Robert Schuman sont victimes d'une inflation rampante"; 200; 0; 1  
"Un riche donateur, M. Anon, est intéressé par l'IUT Robert Schuman"; 1; 0; 0
"L'IUT remporte un concours organisé au niveau de l'Eurométropole"; 1; 0; 0
#
# Cas de force majeure
"Épidémie de mpox en France"; 365; 0; 0
"La centrale nucléaire de Gravelines a fermé"; 1; 0; 0
"Moscou bombarde Strasbourg"; 730; 0; 0
